q_dot_occ,q_dot_ac,q_dot_vent,q_dot_solar,T_amb,T_b,Phi
0,40,0,0,4.3,22.43,0.18
0,40,0,0,3.8,22.43,0.18
0,40,0,0,4.3,22.43,0.18
0,40,0,0,5,22.43,0.18
0,40,0,0,4.8,22.43,0.18
20.8,40,43.33,0,4.9,13.93,0.18
20.8,40,44.61,0.5,4.1,13.39,0.18
20.8,40,44.13,6.9,4.4,13.59,0.25
20.8,40,43.5,49.5,4.8,13.86,0.25
0,40,0,71.9,5.3,22.44,0.25
20.8,40,41.23,65.6,6.2,14.79,0.25
20.8,40,40.9,29.2,6.4,14.92,0.25
20.8,40,40.73,22.9,6.5,14.99,0.25
20.8,40,41.06,13.3,6.3,14.85,0.25
0,40,0,1.9,6.3,22.43,0.25
20.8,40,41.39,0,6.1,14.72,0.25
20.8,40,41.55,0,6,14.66,0.25
20.8,40,41.39,0,6.1,14.72,0.25
20.8,40,40.57,0,6.6,15.05,0.25
0,40,0,0,7.5,22.44,0.25
0,40,0,0,7.9,22.44,0.25
0,40,0,0,8.1,22.44,0.25
0,40,0,0,8.7,22.44,0.18
0,40,0,0,6.6,22.43,0.18
0,40,0,0,6.5,22.43,0.18
0,40,0,0,6.8,22.43,0.18
0,40,0,0,8.5,22.44,0.18
0,40,0,0,5.1,22.43,0.18
0,40,0,0,4.1,22.43,0.18
20.8,40,43.17,0,5,13.99,0.18
20.8,40,41.22,0.2,6.2,14.79,0.25
20.8,40,40.08,7.2,6.9,15.25,0.25
20.8,40,39.09,18.2,7.5,15.64,0.25
0,40,0,13.2,7.3,22.44,0.25
20.8,40,39.09,15.3,7.5,15.64,0.25
20.8,40,39.25,14.8,7.4,15.58,0.25
20.8,40,39.42,12,7.3,15.51,0.25
20.8,40,41.06,7,6.3,14.85,0.25
0,40,0,1.9,5.8,22.43,0.25
20.8,40,42.2,0,5.6,14.39,0.25
20.8,40,42.36,0,5.5,14.33,0.25
20.8,40,42.36,0,5.5,14.33,0.25
20.8,40,32.7,0,11.3,18.11,0.25
0,40,0,0,8.2,22.44,0.25
0,40,0,0,5.5,22.43,0.25
0,40,0,0,4.9,22.43,0.18
0,40,0,0,5,22.43,0.18
0,40,0,0,5.5,22.43,0.18
0,40,0,0,5.6,22.43,0.18
0,40,0,0,5.6,22.43,0.18
0,40,0,0,6.2,22.43,0.18
0,40,0,0,5.9,22.43,0.18
0,40,0,0,5.4,22.43,0.18
20.8,40,42.69,0,5.3,14.19,0.25
20.8,40,42.2,0.5,5.6,14.39,0.25
20.8,40,41.71,17.5,5.9,14.59,0.25
20.8,40,40.9,41.9,6.4,14.92,0.25
0,40,0,63.6,7,22.44,0.25
20.8,40,39.26,66.3,7.4,15.58,0.25
20.8,40,39.59,65,7.2,15.45,0.25
20.8,40,38.59,63.7,7.8,15.84,0.25
20.8,40,38.76,34.5,7.7,15.77,0.25
0,40,0,14.1,7.4,22.44,0.25
20.8,40,39.58,0,7.2,15.45,0.25
20.8,40,39.58,0,7.2,15.45,0.25
20.8,40,38.75,0,7.7,15.77,0.25
20.8,40,38.92,0,7.6,15.71,0.25
0,40,0,0,7.6,22.44,0.25
0,40,0,0,7.1,22.44,0.18
0,40,0,0,6.9,22.44,0.18
0,40,0,0,7.1,22.44,0.18
0,40,0,0,6.8,22.43,0.18
0,40,0,0,6.6,22.43,0.18
0,40,0,0,6.6,22.43,0.18
0,40,0,0,6.7,22.43,0.18
0,40,0,0,6.4,22.43,0.18
0,40,0,0,6.4,22.43,0.25
20.8,40,40.73,0,6.5,14.99,0.25
20.8,40,40.9,0.5,6.4,14.92,0.25
20.8,40,41.06,18.2,6.3,14.85,0.25
20.8,40,40.57,49.8,6.6,15.05,0.25
0,40,0,71,7.3,22.44,0.25
20.8,40,40.08,59,6.9,15.25,0.25
20.8,40,40.08,29.7,6.9,15.25,0.25
20.8,40,40.08,24.5,6.9,15.25,0.25
20.8,40,40.4,14.5,6.7,15.12,0.25
0,40,0,4,6.2,22.43,0.25
20.8,40,41.55,0,6,14.66,0.25
20.8,40,41.71,0,5.9,14.59,0.25
20.8,40,41.87,0,5.8,14.52,0.25
20.8,40,41.87,0,5.8,14.52,0.25
0,40,0,0,5.4,22.43,0.18
0,40,0,0,5,22.43,0.18
0,40,0,0,5.4,22.43,0.18
0,40,0,0,5.2,22.43,0.18
0,40,0,0,4.8,22.43,0.18
0,40,0,0,5,22.43,0.18
0,40,0,0,4.5,22.43,0.18
0,40,0,0,4.3,22.43,0.18
0,40,0,0,4.2,22.43,0.25
0,40,0,0,4.3,22.43,0.25
20.8,40,44.45,0,4.2,13.46,0.25
20.8,40,44.61,0.2,4.1,13.39,0.25
20.8,40,44.29,3.6,4.3,13.53,0.25
20.8,40,43.98,9.2,4.5,13.66,0.25
0,40,0,27.5,4.8,22.43,0.25
20.8,40,42.85,16,5.2,14.13,0.25
20.8,40,42.04,15.8,5.7,14.46,0.25
20.8,40,42.2,12.7,5.6,14.39,0.25
20.8,40,42.85,7.7,5.2,14.13,0.25
0,40,0,2.3,4.5,22.43,0.25
20.8,40,44.77,0,4,13.33,0.25
20.8,40,44.93,0,3.9,13.26,0.25
20.8,40,45.09,0,3.8,13.19,0.25
20.8,40,44.77,0,4,13.33,0.18
0,40,0,0,4.9,22.43,0.18
0,40,0,0,10.1,22.44,0.18
0,40,0,0,11,22.44,0.18
0,40,0,0,11.1,22.44,0.18
0,40,0,0,11.5,22.44,0.18
0,40,0,0,11.5,22.44,0.18
0,40,0,0,11.7,22.44,0.18
0,40,0,0,11.8,22.44,0.25
0,40,0,0,11.8,22.44,0.25
0,40,0,0,11.9,22.44,0.25
20.8,40,31.84,0,11.8,18.43,0.25
