q_dot_occ (kW),q_dot_ac (kW),q_dot_vent (kW),q_dot_solar (kW),T_amb (°C),T_b (°C),Phi (Eur/KWh)
20.8,40,14.9776,38.11370049,6.5,30.42796515,0.25
20.8,40,15.13952,22.20174922,6.3,29.2077611,0.25
0,40,0,3.110499828,6.3,25.95970684,0.25
20.8,40,15.30144,0,6.1,26.96976741,0.25
20.8,40,15.3824,0,6,26.91612695,0.25
20.8,40,15.30144,0,6.1,27.04612754,0.25
20.8,40,14.89664,0,6.6,27.69585356,0.25
0,40,0,0,7.5,26.48634138,0.25
0,40,0,0,7.9,26.59443784,0.25
0,40,0,0,8.1,26.67250051,0.25
0,40,0,0,8.7,27.07887668,0.18
0,40,0,0,6.6,25.74388989,0.18
0,40,0,0,6.5,26.5712503,0.18
0,40,0,0,6.8,26.71899134,0.18
0,40,0,0,8.5,26.98939548,0.18
0,40,0,0,5.1,24.94269284,0.18
0,40,0,0,4.1,24.63201775,0.18
20.8,40,16.192,0,5,26.37241391,0.18
20.8,40,15.22048,0.386485437,6.2,27.56427704,0.25
20.8,40,14.65376,12.08068717,6.9,29.19667421,0.25
20.8,40,14.168,30.26758179,7.5,31.18248387,0.25
0,40,0,22.02996874,7.3,28.87102697,0.25
20.8,40,14.168,25.52901633,7.5,31.47914674,0.25
20.8,40,14.24896,24.70252848,7.4,31.83429706,0.25
20.8,40,14.32992,19.97039931,7.3,31.02384535,0.25
20.8,40,15.13952,11.71522512,6.3,30.73422683,0.25
0,40,0,3.110488564,5.8,27.74507135,0.25
20.8,40,15.70624,0,5.6,28.61060708,0.25
20.8,40,15.7872,0,5.5,28.5996393,0.25
20.8,40,15.7872,0,5.5,28.35439878,0.25
20.8,40,11.09152,0,11.3,32.56440386,0.25
